,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
106,193182,Bath Beach,New York,NY,New York-Newark-Jersey City,Kings,107,27.42,24.86,25.06,20.42,17.41,16.26,14.73,15.32,15.72,14.81,15.91,15.99,16.59,16.62,16.27,16.49,16.44,19.38,21.2,23.01,27.71,25.06,21.99,23.93,30.47,29.19,17.67,19.94,24.91,26.78,25.81,8.36,10.35,11.1,11.03,9.81,8.19,8.04,7.75,8.91,10.5,9.06,8.92,7.91,6.15,6.11,4.63,5.03,4.31,5.79,7.42,7.63,9.3,12.45,14.47,16.68,13.82,12.37,16.17,22.0
109,26352,Ozone Park,New York,NY,New York-Newark-Jersey City,Queens,110,7.63,7.02,6.31,5.15,5.01,5.84,5.79,9.12,11.18,15.18,15.48,16.86,14.47,14.12,16.22,18.58,18.28,18.45,11.87,6.73,4.62,5.61,3.97,4.71,9.3,14.97,11.69,11.33,10.04,7.66,8.02,5.36,6.16,10.45,9.17,8.02,7.72,8.19,8.73,9.23,9.66,6.87,5.48,5.28,4.11,7.37,4.74,3.34,3.01,4.6,7.45,5.45,7.51,12.72,12.55,12.0,7.04,6.6,9.21,11.13
112,276128,Richmond Hill,New York,NY,New York-Newark-Jersey City,Queens,113,7.47,7.95,7.73,6.04,4.32,2.78,2.89,5.09,8.17,10.29,9.78,11.65,10.0,9.52,11.28,14.95,15.68,16.38,10.43,4.9,3.62,4.83,5.56,5.31,8.85,11.86,11.02,10.83,12.52,10.36,9.7,1.25,1.32,1.98,1.32,0.88,0.73,0.59,0.48,0.99,1.91,2.13,3.23,3.6,3.56,5.07,3.31,2.28,0.99,1.8,2.9,3.2,5.55,14.29,13.19,13.08,10.76,12.64,15.21,23.84
115,193526,Brownsville,New York,NY,New York-Newark-Jersey City,Kings,116,41.72,39.88,39.54,36.61,36.2,40.9,40.52,30.83,23.87,20.33,19.03,18.62,14.32,19.22,21.27,21.0,21.0,19.15,14.86,12.47,13.7,10.91,9.41,13.43,24.61,27.18,12.33,11.44,14.37,14.65,16.96,15.48,14.53,13.44,7.5,2.66,1.5,1.43,0.68,0.61,0.61,0.82,0.82,1.84,2.05,2.05,2.32,2.52,2.52,4.57,5.59,5.39,9.07,11.59,17.45,14.04,5.25,2.66,2.79,8.93
116,274415,Flatlands,New York,NY,New York-Newark-Jersey City,Kings,117,29.16,27.55,27.52,26.7,25.45,24.96,19.54,16.68,18.5,18.08,21.57,24.51,27.66,32.34,33.9,35.83,35.77,34.83,35.56,35.99,33.13,31.1,25.15,22.97,29.71,29.25,19.79,20.04,26.3,28.84,33.42,9.26,10.09,11.2,14.0,14.85,12.82,10.81,6.74,6.7,5.45,2.92,2.78,2.4,1.68,2.4,2.72,3.15,3.35,6.82,6.95,7.42,11.82,14.17,16.62,17.49,12.33,14.51,9.32,13.58
118,273860,Gramercy,New York,NY,New York-Newark-Jersey City,New York,119,8.15,7.77,8.55,7.73,8.65,9.81,15.86,21.87,25.0,27.52,29.81,29.68,30.15,30.03,30.48,31.17,29.11,27.04,22.47,16.44,12.85,10.21,9.39,10.26,15.13,21.69,25.19,22.5,23.54,24.47,25.34,28.63,28.82,26.62,24.64,20.7,22.74,19.37,19.36,19.26,24.08,23.96,29.59,21.59,21.04,25.64,29.07,32.34,25.05,25.22,26.32,25.74,27.77,34.33,38.63,47.27,52.89,56.72,62.36,63.51
126,403217,Kensington,New York,NY,New York-Newark-Jersey City,Kings,127,9.4,9.62,11.06,9.8,8.28,7.69,12.54,16.02,14.96,16.79,18.95,21.38,21.88,23.27,24.9,28.19,28.63,30.11,26.17,23.7,22.95,19.15,16.41,16.3,20.59,24.05,18.08,17.65,21.87,24.52,26.73,14.12,14.95,15.3,16.17,13.48,8.52,8.05,6.24,6.04,4.96,4.73,5.36,6.2,5.52,6.63,6.0,6.0,6.59,12.42,15.52,14.25,17.02,16.57,17.19,14.18,13.58,11.75,9.14,15.28
137,275115,Queens Village,New York,NY,New York-Newark-Jersey City,Queens,138,12.65,13.45,15.39,13.49,11.93,10.79,12.53,15.57,20.23,19.42,16.6,17.03,14.38,13.5,14.15,17.86,18.55,19.06,12.15,7.82,5.75,4.64,3.76,4.35,8.68,11.64,8.42,9.65,7.75,5.74,5.42,0.8,0.82,0.85,0.53,0.43,0.46,0.52,1.0,1.55,2.17,0.96,2.17,1.91,3.01,8.78,6.94,8.06,6.19,13.38,15.47,14.27,14.13,19.75,25.16,22.94,14.04,10.33,13.12,19.92
144,5837,Maspeth,New York,NY,New York-Newark-Jersey City,Queens,145,8.98,6.63,6.45,5.34,5.16,3.66,4.95,5.86,7.46,9.29,8.9,9.29,10.43,11.8,13.14,15.8,15.93,17.43,11.84,7.84,7.27,7.04,8.8,9.08,11.79,14.93,12.9,13.93,12.51,10.01,11.04,3.01,2.96,3.91,1.9,1.7,1.36,1.34,1.36,1.47,1.13,0.88,1.29,1.11,1.21,4.71,3.22,2.4,1.52,2.96,4.53,5.69,7.6,17.25,24.43,23.97,21.01,23.81,34.05,30.4
145,193189,Bay Ridge,New York,NY,New York-Newark-Jersey City,Kings,146,7.88,8.54,10.85,11.22,18.21,29.71,33.33,37.24,37.26,37.65,38.5,38.66,38.68,40.46,40.66,40.99,39.0,38.12,36.61,32.78,35.17,29.19,32.38,39.53,46.81,47.65,37.24,38.22,39.59,37.21,42.44,25.91,26.32,23.6,26.0,27.76,32.09,34.66,31.57,31.52,30.71,22.66,8.88,4.87,4.78,5.35,6.32,6.09,5.85,8.59,10.74,11.25,15.53,23.55,26.69,24.93,25.41,26.0,30.63,29.93
