,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
280,194474,East Tremont,New York,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,270848,Greenpoint,New York,293,9.0,0.0,7.0,10.0,1.0,9.0,9.0,16.0,5.0,6.0,12.0,3.0,11.0,9.0,9.0,1.0,11.0,6.0,7.0,9.0,12.0,4.0,12.0,6.0,8.0,5.0,6.0,7.0,6.0,5.0,3.0,2.0,4.0,9.0,3.0,3.0,7.0,5.0,5.0,10.0,7.0,9.0,8.0,6.0,9.0,7.0,9.0,8,9,4.0,5.0,9.0,2.0,5.0,1.0,3.0,10.0,8.0,7.0,2.0
297,403110,Rochdale,New York,298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1,1,1.0,2.0,3.0,1.0,1.0,,,,,,
299,276345,Glendale,New York,300,1.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,6.0,3.0,3.0,3.0,2.0,2.0,5.0,7.0,3.0,1.0,9.0,10.0,6.0,7.0,6.0,4.0,6.0,3.0,1.0,1.0,4.0,7.0,5.0,3.0,10.0,3,1,6.0,6.0,5.0,6.0,5.0,3.0,7.0,4.0,8.0,7.0,2.0
300,403221,Prospect Lefferts Gardens,New York,301,3.0,5.0,1.0,5.0,4.0,2.0,2.0,4.0,8.0,2.0,5.0,4.0,6.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,8.0,5.0,4.0,9.0,4.0,2.0,3.0,1.0,1.0,4.0,7.0,2.0,3.0,2.0,5.0,4.0,3.0,1.0,5.0,7.0,2.0,0.0,7.0,2.0,1.0,3.0,5.0,2,1,5.0,4.0,5.0,0.0,,,,,,,
317,196338,Middle Village,New York,318,11.0,7.0,6.0,5.0,7.0,6.0,4.0,8.0,7.0,6.0,12.0,15.0,17.0,12.0,14.0,11.0,9.0,7.0,5.0,8.0,7.0,18.0,15.0,17.0,8.0,11.0,14.0,12.0,10.0,13.0,7.0,9.0,9.0,9.0,11.0,12.0,10.0,13.0,10.0,14.0,18.0,9.0,4.0,6.0,9.0,10.0,10.0,7,12,10.0,17.0,17.0,5.0,6.0,8.0,9.0,9.0,8.0,13.0,10.0
320,270902,Ocean Hill,New York,321,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,,,
337,403226,Bellerose,New York,338,3.0,9.0,7.0,9.0,4.0,4.0,4.0,3.0,7.0,2.0,5.0,6.0,5.0,6.0,3.0,8.0,4.0,2.0,4.0,1.0,7.0,7.0,5.0,11.0,2.0,9.0,8.0,6.0,3.0,7.0,6.0,5.0,6.0,9.0,11.0,8.0,8.0,8.0,10.0,6.0,5.0,8.0,6.0,7.0,8.0,8.0,7.0,7,7,8.0,11.0,6.0,8.0,5.0,14.0,10.0,9.0,7.0,8.0,12.0
362,270797,Auburndale,New York,363,16.0,16.0,9.0,11.0,13.0,4.0,7.0,13.0,12.0,12.0,19.0,13.0,19.0,9.0,15.0,12.0,13.0,8.0,14.0,15.0,10.0,14.0,13.0,20.0,14.0,21.0,26.0,16.0,9.0,14.0,17.0,16.0,14.0,11.0,21.0,22.0,22.0,13.0,17.0,10.0,11.0,14.0,10.0,14.0,11.0,17.0,13.0,16,18,17.0,13.0,14.0,9.0,17.0,8.0,9.0,10.0,14.0,18.0,11.0
364,274285,Laurelton,New York,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,1,1,2.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,,,
