"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Albany Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1150,1175,1150,1072.5,1097.5,1150,1225,1100,1150,1200,1375,1250,1200,1212.5,1200,1212.5,1250,1250,1200,1100,1000,1150,1225,1250,1212.5,1225,1195,1297,1200,1175,1210,1300,1250,1300,1337.5,1300,1332.5,1500,1400,1450,1470,1412.5,1350,1400,1350,1400,1430,1397.5,1395,1390,1400,1385,1370,1350,1395,1395,1395,1400,1450,1400,1395,1375,1395,1400,1375,1395,1350,1350,1325,1325,1350,1300
"Encanto","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,775,817,875,825,875,862.5,897.5,850,850,850,875,875,850,895,925,850,850,850,850,850
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1595,1645,1600,1650,1750,1700,1637.5,1700,1750,1850,1875,1770,1800,1700,1700,1695,1695,1750,1795,1799,1775,1780,1695,1695,1745,1747.5,1495,1695,1600,1595,1600,1645,1750,1800,1750,1695,1650,1650,1600,1650,1695,1750,1795,1825,1900,1950,1875,1695.5,1692.5
"Bedford Park","New York","NY","New York-Newark-Jersey City","Bronx",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1293,1285,1294,1297.5,1269,1231,1200,1294,1275,1300,1300,1350,1300,1280,1300,1300,1300,1325,1300,1300,1300,1300,1395,1400,1450,1450,1400,1450,1450,1400,1400,1450,1387.5,1412.5,1450,1450,1475,1550,1475,1462.5,1475,1450,1499,1497.5,1500,1550,1550,1562.5,1575,1560,1600,1600,1600,1612.5,1650,1600,1600,1595,1600,1612.5,1600
"Mott Haven","New York","NY","New York-Newark-Jersey City","Bronx",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1800,1862.5,1800,1800,1800,1800,1875,1850,1850,1960,1875,2025,1995,1999,2100,2250,2195,2022.5,2025,2200
"Rogers Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",76,,,,,,,,,,,,,,,,,,,,,,,1025,950,950,975,1050,1095,1025,895,995,995,1095,1012.5,1097.5,1100,1050,1150,1150,1150,1145,975,1000,1000,1050,1025,1050,1050,1050,975,975,995,1000,1000,1050,1050,1000,950,975,975,1000,1000,1000,1000,1000,1000,995,975,950,950,995,1050,1050,995,1025,1075,1150,1100,1085,1083,1180,1195,1125,1100,1100,1160,1136,1140,1100,1100,1195,1155,1145,1125,1132.5,1175,1250,1200,1175,1215,1250,1206
"Maspeth","New York","NY","New York-Newark-Jersey City","Queens",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1600,1700,1700,1675,1700,1650,1650,1650,1637.5,1650,1650,1750,1650,1675,1700,1750,1800,1700,1800,1775,1797.5,1800,1800,1800,1800,1850,1850,1800,1900,2000,2000,1900,2000,2000,2000,1950,1950,1900,2000,2100,2150,1975,1950,2200,2000,2050,2100,2095,2050,2200,2150,2099,2150,2150,2200,2195,2195,2100,2199,2125,2100,2175,2200,2200,2200,2100,2200,2150
"Bay Ridge","New York","NY","New York-Newark-Jersey City","Kings",78,,,,,,,,,,,,,,,,,,,,,1500,1475,1500,1550,1500,1500,1525,1462.5,1475,1500,1587.5,1600,1537.5,1525,1550,1650,1600,1600,1550,1600,1600,1600,1600,1600,1675,1650,1600,1600,1650,1750,1700,1750,1750,1800,1800,1800,1762.5,1750,1750,1750,2000,2100,1975,1800,1899,1937.5,1875,1900,1900,1900,1900,2000,1900,1900,2050,2000,2000,2000,1950,2000,2000,2000,2000,1950,1975,1995,1995,2000,1900,1900,1875,1800,1800,1998.5,2000,1875,1950,1950,2000,2000,2000,2000
"University Heights","New York","NY","New York-Newark-Jersey City","Bronx",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1485,1450,1462.5,1450,1475,1450,1490,1495,1495,1495,1495,1500,1550,1595,1550,1550,1595,1550,1550,1595,1725,1795,1797,1750,1749
"Oak Lawn","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,1495,1644,1599,1653.5,1625,1729.5,1828.5,1892,2035,1899.5,1904,1850,1525,1422.5,1350,1300,1295,1250,1072.5,1250
"Woodside","New York","NY","New York-Newark-Jersey City","Queens",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1550,1600,1650,1550,1675,1700,1700,1650,1650,1650,1700,1750,1750,1750,1750,1725,1750,1750,1750,1750,1750,1750,1750,1795,1800,1800,1800,1800,1835,1800,1850,1897.5,1825,1900,1900,1900,1825,1835,1800,1800,1845,1895,2100,2000,1900,1900,2000,1845,1800,1895,1850,1775,1900,2042.5,2200,2100,2070,1900,1900,1795,1800,2000,2000,1985,2000,1775,1850,2000
"Hamilton Heights","New York","NY","New York-Newark-Jersey City","New York",82,,,,,,,,,,,,,1650,1600,1650,1925,1700,1750,1795,1825,1922.5,2000,1872.5,1850,1795,1772.5,1800,1995,1925,1900,1950,1995,1995,1950,1950,1900,1995,1995,1995,2000,2100,2200,2200,2150,2150,2198,2195,2150,2150,2200,2250,2350,2325,2100,2225,2350,2300,2250,2372.5,2300,2295,2275,2372.5,2350,2400,2400,2297.5,2375,2425,2450,2400,2500,2410,2350,2300,2300,2350,2400,2375,2495,2300,2425,2425,2395,2400,2400,2450,2450,2400,2500,2400,2350,2399,2350,2400,2500,2525,2400,2400,2500,2520,2650
"Bayside","New York","NY","New York-Newark-Jersey City","Queens",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,1750,1697.5,1775,1800,1750,1800,1800,1800,2100,2100,2000,2075,2000,2100,2000,2000,2000,1950,1995,2000,1900,1995,1950,1900,2000,2000,2100,2200,2195,2125,2200,1995,2000,2150,2150,2150,2100,1900,1895,2097.5,2000,2000,2176,2163,2170,2000,2172.5,2122.5,2200,2000,2104,2200,2176,2197.5,2200,2200,2200,2292.5,2300,2175,2300
"Greenville","Jersey City","NJ","New York-Newark-Jersey City","Hudson",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1437.5,1447.5,1525,1500,1550,1500,1500,1500,1550,1500,1400,1395,1395,1395,1425,1550,1550,1550
"Chelsea","New York","NY","New York-Newark-Jersey City","New York",85,,,,,,,,,,,2562.5,2795,2750,2800,2775,2950,2760,2895,2995,3175,3000,3295,3300,3295,3295,3300,3395,3350,3350,3400,3338.5,3400,3250,3208,3295,3332,3400,3395,3395,3400,3400,3400,3500,3420,3478,3443,3425,3500,3500,3500,3550,3565,3450,3595,3595,3550,3600,3600,3600,3595,3600,3616,3550,3550,3515,3600,3600,3395,3400,3400,3445,3472.5,3495,3500,3500,3462,3495,3400,3500,3511,3450,3427,3520,3500,3595,3697,3650,3650,3642.5,3695,3708,3700,3600,3650,3695,3795,3695,3800,3850,3762.5,3830,3742.5
"Fordham","New York","NY","New York-Newark-Jersey City","Bronx",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,1300,1300,1295,1205,1210,1200,1200,1200,1200,1225,1199,1200,1200,1247.5,1250,1250,1250,1250,1250,1300,1400,1350,1495,1500,1450,1425,1450,1500,1500,1450,1400,1495,1500,1525,1597.5,1550,1597.5,1495,1550,1550,1600,1600,1650,1650,1650,1600,1597.5,1595,1600,1650,1650,1650,1600,1600,1650,1625,1662.5,1700,1700,1725,1825
"Gresham","Chicago","IL","Chicago-Naperville-Elgin","Cook",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,900,960,900,912.5,962.5,900,925,912.5,1000,950,1025,1100,1050,1100,1112.5,1100,1150,1095,1050,1000,1075,1100,1000,1000,1050,1037.5,1000,1000,980,1008,1150,1100,1100,1000,1047,1015,1000,1040,1044,1044,1050,1072.5,1100,1050,1000,1050,1100,1100,1100,1000,1000
"Mid City West","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,2850,3118,2800,2698,2895,2695,3118,2872.5,2800,2795,2850,2999,3049.5,3143,3136,2895,2995,3000,2995,3425,3118,3100,3497.5,3500
