"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"West Oak Hill","Austin","TX","Austin-Round Rock","Travis",442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1675,1797.5,1995,2050,2095,2125,2050,1950,2000,1945,1895,1850,1850,1750,1725,1995,2095,2097.5,1995,1995
"Hillcrest","San Diego","CA","San Diego-Carlsbad","San Diego",443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2400,2385,2337.5,2400,2395,2372.5,2350,2400,2395,2400,2470,2475,2395,2395,2397.5,2500,2575,2600,2450,2450,2395
"Provincetowne","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg",444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1750,1750,1695,1655,1650,1650,1675,1700,1800,1700,1700,1697.5,1675,1650,1650,1695,1699,1695,1675,1675,1650
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex",445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2799.5,2700,2800,2699.5,2600,2250,2400,2400,2700,2737.5,2650,2775,2800,2700,2500,2275,2300,2400,2400,2450,2537.5,2500,2800,2900,2900,2800,2972.5,2750,2825,2600,2400,2600,2800,2800,2900,2900,2900,2799.5,2800,2800,2800,2700,2749.5,2850,2900,2850,2875,3000,3000,2937.5,2800
"Near Westside","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion",446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,662.5,675,700,700,675,675,650,650,650,650,650,680,697.5,695,695,695,675,715,700,695
"Bluffview","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.5,2000,2197.5,2000,1900,1850,1922.5,1950,2200,2100,1950,1950,1895,1650,1850,1850,1895
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1800,2000,2000,1997.5,2000,1800,1800,1800,1700,1500,1700,1950,2000,2050,2085,2000,2000,2000,1902.5,1997.5,1955,2000,2000,2000,2000,2062.5,2013,2000,2000,2000,2000,1797.5,1750,1800,1800,1800,2000,2000,2000,1875,1875,1875,1800,1800,1800,1700,1800,1965,2000,1950,1950,1800,1800,1800,1700,1625,1575,1600
"Citizens Southwest","Jackson","MS","Jackson","Hinds",449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.5,750,775,750,750,750,750,775,750,750,750,737.5,725,725,725,775,750,750,750,750,750
"Pioneer Park","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",449,,,,,,,,,,,,,,,950,950,950,950,950,950,939.5,900,925,925,925,950,900,900,900,900,900,895,900,900,950,937.5,900,899.5,950,950,925,900,950,950,950,950,982.5,990,950,950,950,1000,960,950,990,995,995,1000,1000,980,950,995,950,975,980,995,962.5,975,962.5,950,950,950,1050,995,975,1062.5,999.5,995,975,1000,1075,1072.5,1000,1050,1060,1095,1125,1150,1137.5,1125,1100,1125,1125,1100,1155,1175,1162.5,1195,1200,1250,1250,1222.5,1200,1250
"Northwest","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah",451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,2100,2100,1900,1922.5,1995,1950,1975,1922.5,2200,2000,1950,1709.5,1995,1950,2047.5,2100
