"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Logan Square","IL","Chicago-Naperville-Elgin","Cook","Chicago",66,1810,0,-0.00165471594043023,-0.0602284527518172,7793
2018-09-30,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",67,2350,0.00298762270593257,0.0090167453842851,0.00170502983802217,18154
2018-09-30,"Lower East Side","NY","New York-Newark-Jersey City","New York","New York",68,3747,0.0018716577540107,0.00294432548179872,-0.0345271837155372,4027
2018-09-30,"Estrella","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",69,1194,0,0,0.00505050505050505,18871
2018-09-30,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",70,2726,0.0014695077149155,0.00701884004432952,0.0468509984639017,15128
2018-09-30,"Northridge","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",71,3182,0.000628930817610063,0.00220472440944882,-0.00717628705148206,16516
2018-09-30,"Flushing","NY","New York-Newark-Jersey City","Queens","New York",72,2225,-0.000898069151324652,-0.00134649910233393,-0.00358262427227944,10434
2018-09-30,"South Ozone Park","NY","New York-Newark-Jersey City","Queens","New York",73,2144,-0.000466200466200466,-0.00371747211895911,-0.0633464394932285,7645
2018-09-30,"Ahwatukee Foothills","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",74,1593,-0.000627352572145546,-0.0018796992481203,0.00188679245283019,27675
2018-09-30,"Sylmar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",75,2646,0.00113507377979569,0.00570125427594071,0.0483359746434231,15263
2018-09-30,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",76,2293,0,-0.00174140182847192,-0.0141874462596733,3781
2018-09-30,"Sharpstown","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",77,1378,-0.000725163161711385,-0.00217233888486604,0.0268256333830104,12231
2018-09-30,"West","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",78,1565,-0.00127632418634333,-0.00254939451880178,-0.0082382762991128,22642
2018-09-30,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",79,2815,0,-0.00283386468296139,0.0303806734992679,8199
2018-09-30,"San Pedro","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",80,2739,0,-0.000729660707770887,0.0208721580320537,15023
2018-09-30,"North Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",81,3299,-0.000303030303030303,0,0.0113427345187002,14301
2018-09-30,"Evergreen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",82,3539,0,-0.000282485875706215,-0.00225542712151114,23319
2018-09-30,"Woodland Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",83,3459,0,-0.00144341801385681,-0.0275513072814169,20836
2018-09-30,"Eldridge - West Oaks","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",84,1793,-0.0011142061281337,-0.00278086763070078,0.0239862935465448,10900
2018-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",85,3762,-0.00291545189504373,-0.00947867298578199,-0.0266494178525226,17194
2018-09-30,"Pacoima","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",86,2545,0.00157418339236521,0.00394477317554241,0.0413256955810147,10261
2018-09-30,"Murray Hill","NY","New York-Newark-Jersey City","Queens","New York",87,2335,-0.00128314798973482,-0.00638297872340425,-0.0484922575387123,8597
2018-09-30,"Little Village","IL","Chicago-Naperville-Elgin","Cook","Chicago",88,1398,0,0,-0.000714796283059328,3083
2018-09-30,"North Raleigh","NC","Raleigh","Wake","Raleigh",89,1590,0.000629326620516048,0.00189035916824197,-0.00749063670411985,26348
2018-09-30,"Southwest","CA","San Diego-Carlsbad","San Diego","Chula Vista",90,2339,-0.000427350427350427,0.000855798031664527,0.0254274441034634,11590
2018-09-30,"Canyon Country","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Santa Clarita",91,2596,0.000385356454720617,0.00154320987654321,0.00933125972006221,16555
2018-09-30,"Mira Mesa","CA","San Diego-Carlsbad","San Diego","San Diego",92,2531,0.00317082837891399,0.0103792415169661,0.00716275368085953,19099
2018-09-30,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange","Anaheim",93,2640,-0.000378644452858766,-0.000378644452858766,0.00189753320683112,9092
2018-09-30,"Far Rockaway","NY","New York-Newark-Jersey City","Queens","New York",94,2148,-0.002322340919647,-0.002322340919647,-0.0173833485818847,2779
2018-09-30,"Forest Hills","NY","New York-Newark-Jersey City","Queens","New York",95,2156,0,0.00232450023245002,0.0256898192197907,14145
2018-09-30,"Cordova-Appling","TN","Memphis","Shelby","Memphis",96,1289,0,-0.000775193798449612,0.0165615141955836,20742
2018-09-30,"Northwest Raleigh","NC","Raleigh","Wake","Raleigh",97,1594,0,0,-0.0250764525993884,21938
2018-09-30,"Valencia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Santa Clarita",98,2769,-0.00036101083032491,0.00362450163102573,0.00654307524536532,15113
