"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Eagle River","Anchorage","AK","Anchorage","Anchorage",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,2050,2070,1950,1950,1897.5,1900,2199.5,2070,2090,2200,2097.5,2100,2100,2000,2070,2050,2100,2100,2190,2220,2225,2200,2145,2200,2197.5,2125,2050,1997.5,2050,1999.5,2195,1975,2100,2090,2070,1832.5,1925,1995,1900,1985,1995,2012.5,2100,2200,2150,1975,1925,2025,1995,1925,1950,1900,2095,2095,2200,2100,2100,2000,2000
"Capitol Hill","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3300,3400,3200,3500,3489.5,3500,3450,3450,3400,3500,3500,3200,3450,3100,3185,3350,3400,3500,3380,3425
"Financial District","New York","NY","New York-Newark-Jersey City","New York",191,,,,,,,,,,,,,,,,,,3295,3507.5,3300,3200,3500,3500,3500,3300,3233,3250,3250,3300,3250,3250,3395,3400,3456,3385,3295,3295,3342.5,3395,3500,3490,3515,3600,3583,3566.5,3515,3495,3515,3530,3515,3497.5,3497.5,3495,3497.5,3500,3500,3500,3500,3500,3515,3515,3515,3500,3500,3500,3500,3500,3490,3530,3530,3530,3515,3515,3500,3500,3497.5,3530,3500,3497.5,3500,3500,3500,3500,3515,3500,3515,3515,3515,3497.5,3500,3540,3540,3515,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
"Southeast Boise","Boise","ID","Boise City","Ada",192,,,,,,,,,,,,,,,,,,,,,,,,,,850,975,992.5,995,995,995,950,995,995,995,975,950,925,995,995,1025,1037.5,1050,1072.5,1095,1095,1000,995,995,1050,1062.5,1085,1095,1095,1250,1197.5,1150,1095,1125,1195,1195,1185,1250,1225,1195,1195,1195,1137.5,1200,1200,1137.5,1072.5,1175,1250,1310,1250,1295,1287.5,1200,1200,1225,1195,1150,1195,1295,1300,1350,1300,1350,1350,1300,1300,1275,1275,1300,1300,1295,1385,1350,1400,1450,1500,1450,1425
"Paradise Hills","Albuquerque","NM","Albuquerque","Bernalillo",193,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1212.5,1200,1200,1200,1195,1195,1150,1225,1190,1220,1300,1297.5,1250,1200,1200,1200,1200,1200,1200,1199.5,1199.5,1195,1195,1225,1200,1195,1200,1250,1200,1195,1195,1200,1195,1250,1250,1200,1200,1250,1275,1295,1275,1275,1295,1300,1295,1275,1250,1350,1295,1325,1250,1250,1295,1275,1252.5,1247.5,1275,1285,1275,1295,1297.5,1325,1350,1325,1297.5,1295,1300,1300,1300,1295,1350,1325,1324,1350,1395,1350
"Santa Teresa","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3350,3400,3497.5,3447.5,3495,3500,3500,3450,3300,3400,3500,3495,3295,3300,3600,3525,3500,3500,3500
"Near Eastside","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion",195,,,,,,,,,,,,,,,,,600,600,600,600,600,565,595,595,600,600,600,600,595,600,625,595,597.5,600,612.5,600,625,650,650,650,659.5,675,650,650,650,625,625,625,650,650,625,600,600,600,625,625,625,625,625,625,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,675,695,650,695,685,650,645,650,695,650,650,650,650,665,675,675,675,695,700,695,695,695,695,695,675,675,675,699
"The Lakes","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",196,,,,,,,,,,,,,,,,1450,1400,1500,1500,1474.5,1500,1500,1555,1500,1495,1425,1400,1500,1400,1485,1480,1500,1397.5,1400,1397.5,1395,1395,1399,1400,1495,1395,1495,1495,1500,1500,1485,1495,1500,1499.5,1480,1500,1650,1695,1695,1522.5,1525,1450,1400,1400,1425,1585,1600,1585,1650,1662.5,1700,1700,1575,1500,1495,1492.5,1600,1600,1600,1595,1699.5,1850,1600,1695,1600,1500,1549.5,1595,1600,1695,1695,1600,1672.5,1795,1775,1725,1875,1797,1750,1700,1775,1700,1722.5,1800,1950,1995,1872.5,1797.5,1950
"South Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1325,1295,1295,1295,1250,1324,1250,1300,1300,1297.5,1295,1350,1350,1372.5
"Chapel Hill-Ben Davis","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1150,1150,1175,1195,1200,1200,1197,1250,1240,1195,1192.5,1200,1195,1200,1195,1237.5,1235,1265,1250,1250,1235
