"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk",45,,,2850,2800,2800,2700,2700,2650,2750,2600,2600,2800,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,2950,3000,3100,3100,3050,3050,3050,3000,3000,3000,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3000,3200,3300,3400,3300,3300,3200,3200,3200,3100,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3350,3200,3200,3200,3100,3525,3600,3600,3600,3600,3600,3500,3500,3500,3450,3200,3600,3795,3800,3800,3800,3800,3795,3795,3700,3600,3600
"Northwood","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3600,3700,3650,3600,3700,3700,3700,3800,3875,3950,3900,3800,3700,3700
"Westgate","Henderson","NV","Las Vegas-Henderson-Paradise","Clark",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1887.5,1950,2100,2150,1995,1925,1895,1975,1972.5,1925,1997.5,2050,2100,2095,2100,2175,2150,1997.5,2125
"Fenway","Boston","MA","Boston-Cambridge-Newton","Suffolk",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,5500,5600,5500,5400,5175,5250,5000,5050,5000,4800,5400,5300,5400,5500,5500,5300,5400,5600,5600,5500,5400
"Mission Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk",49,,,,,,,,,,,,3600,3400,3400,3400,3250,3300,3400,3400,3400,3400,3400,3400,3450,3600,3600,3600,3600,3600,3600,3675,3600,3600,3600,3800,3800,3800,3800,3800,3800,3870,3800,3800,3700,3650,3750,3800,4000,4000,4000,3900,3900,3850,3850,3800,3650,3600,3600,3800,4000,4100,4100,4000,4000,3999,3900,3800,3775,3600,3500,3637.5,4000,4200,4200,4200,4000,4000,3997,3900,3800,3800,3995,4000,4200,4200,4200,4100,4000,4000,4000,4000,3950,3800
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3350,3500,3500,3500,3500,3400,3300,3000,3000,3000,3000,3400,3250,3375,3800,3500,3800,3550,3200,2800,2800,2800,3100,3600,3700,3750,3942.5,3800,3400,3200,3050,3125,3200,3200,3500,3500,4124,4150,4000,4000,4000,3600
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2260,2200,2200,2200,2200,2000,2000,2200,2200,2255,2200,2200,2200,2200,2200,2200,2100,2100,2000,2100,2200,2320,2400,2300,2300,2200,2300,2200,2200,2200,2200,2300,2400,2360,2340,2300,2300,2230,2200,2200,2200,2200,2200,2360
"North Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4800,4800,4675,4500,4500,4500,4000,3999.5,3850,4000,4000,4500,4500,4800,4500,4500,4495,4250,3900,4250
"Winter Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3695,3550,3475,3475,3475,3475,3300,3300,3075,3000,2950,3300,3800,3800,3685,3525,3575,3747.5,3850
"North End","Boston","MA","Boston-Cambridge-Newton","Suffolk",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5200,5200,4850,4850,5100,5200,5200,5200,4950,4950,4950,4950,5100,5040,5000,4975,4975,4940,4800,4800
"Nonantum","Newton","MA","Boston-Cambridge-Newton","Middlesex",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3525,3600,3400,3000,3200,3300,3300,2800,2900,3000,3300,3344.5,3750,3600,3600,3500,3400,3400
"Spring Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3800,4000,4299,4000,3900,3900,3800,3875,4000,3800,3600,3225,3360,3750,4100,4100,4049.5,4000,4000,3800
"Davis Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3897.5,4100,4400,4200,4000,4000,3900,3650,3600,3500,3500,3500,3850,4500,4400,4100,4000,4000,3975,3800
"Aspinwall Hill","Brookline","MA","Boston-Cambridge-Newton","Norfolk",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3800,4100,4200,4100,4100,4100,4100,4100,3800,4100,4200,4200,4000,4000,3750,3750,3600,3400,3200
"Central Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3475,3400,3650,3400,3400,3600,3600,3600,3600,4200,4000,4000,3600,3600
"East Hampton North","East Hampton","NY","New York-Newark-Jersey City","Suffolk",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,37750,36750,38000,38000,38000,39000,42500,38000,35000,33500,32000,31000,30000,30000,28500,30000,28250,29000
"Ball Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3950,3800,3800,3800,3700,3700,3800,3940,4099.5,4450,4200,4200,4000,4000,3750,3900
"Northwest Harbor","East Hampton","NY","New York-Newark-Jersey City","Suffolk",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,39750,37000,40000,38500,35000,30000,34000,30000,30000,30000,29750,28000
